City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Chuy,UY,2019-12-26 19:59:19,-33.69,-53.46,76.78,71,100,9.31
103,Ukiah,US,2019-12-26 19:59:20,39.15,-123.21,57.0,65,1,2.8
104,Tucuman,PE,2019-12-26 19:59:20,-17.17,-70.89,69.75,42,59,11.21
105,Bereda,ES,2019-12-26 19:59:20,43.27,-7.54,46.99,93,0,3.36
106,Sibolga,ID,2019-12-26 19:59:20,1.74,98.78,70.34,98,60,2.86
107,Ichinoseki,JP,2019-12-26 19:59:20,38.93,141.13,36.32,98,100,2.37
108,Lompoc,US,2019-12-26 19:59:20,34.64,-120.46,57.99,71,40,5.82
109,Jaciara,BR,2019-12-26 19:59:20,-15.95,-54.98,87.82,63,36,1.12
110,Longyearbyen,NO,2019-12-26 19:59:21,78.22,15.63,8.26,79,100,3.78
111,Kavieng,PG,2019-12-26 19:59:21,-2.57,150.8,83.25,78,100,11.59
112,Yaan,NG,2019-12-26 19:59:21,7.38,8.57,80.62,18,94,3.94
113,Qaanaaq,GL,2019-12-26 19:59:21,77.48,-69.36,-1.17,78,85,7.25
114,Codrington,AU,2019-12-26 19:59:21,-28.95,153.24,63.0,93,26,3.94
115,Turukhansk,RU,2019-12-26 19:59:21,65.8,87.96,-22.97,99,84,0.78
116,Usinsk,RU,2019-12-26 19:59:22,66.0,57.56,7.3,95,100,8.25
117,Nova Vicosa,BR,2019-12-26 19:57:44,-17.89,-39.37,78.46,80,100,9.82
118,Ostrovnoy,RU,2019-12-26 19:59:22,68.05,39.51,23.38,87,100,15.66
119,Boone,US,2019-12-26 19:56:53,36.22,-81.67,68.0,38,40,2.62
120,San Cristobal,HN,2019-12-26 19:59:22,14.68,-86.92,80.62,43,0,7.36
121,Cape Town,ZA,2019-12-26 19:59:22,-33.93,18.42,62.01,54,40,5.82
122,San Patricio,PY,2019-12-26 19:59:22,-26.98,-56.83,96.04,41,67,3.24
123,Aklavik,CA,2019-12-26 19:59:23,68.22,-135.01,-22.0,74,90,10.29
124,Matara,BI,2019-12-26 19:59:23,-3.48,29.48,58.1,94,100,3.15
125,Srednekolymsk,RU,2019-12-26 19:54:52,67.46,153.71,-27.0,95,84,6.26
126,Wilmington,US,2019-12-26 19:55:44,39.75,-75.55,51.8,66,1,6.93
127,Digby,CA,2019-12-26 19:58:38,44.62,-65.76,26.01,62,0,1.01
128,Kokopo,PG,2019-12-26 19:59:23,-4.34,152.27,80.26,77,34,5.48
129,Yerbogachen,RU,2019-12-26 19:59:23,61.28,108.01,-8.88,97,100,7.74
130,Pisco,PE,2019-12-26 19:55:19,-13.71,-76.2,73.0,30,87,3.36
131,Harper,US,2019-12-26 19:59:24,30.3,-99.24,68.0,64,90,5.82
132,Norman Wells,CA,2019-12-26 19:59:24,65.28,-126.83,-22.0,74,75,2.24
133,Saint-Pierre,FR,2019-12-26 19:59:24,48.95,4.24,48.0,100,100,12.75
134,Kodinsk,RU,2019-12-26 19:59:24,58.6,99.18,-19.5,94,100,5.41
135,Mardin,TR,2019-12-26 19:59:24,37.32,40.72,48.2,87,75,9.17
136,Broome,GB,2019-12-26 19:59:24,52.47,1.45,46.99,100,75,3.36
137,East London,ZA,2019-12-26 19:59:24,-33.02,27.91,70.54,70,17,10.76
138,Qandala,SO,2019-12-26 19:59:25,11.47,49.87,72.05,63,0,1.03
139,Margate,AU,2019-12-26 19:57:53,-43.03,147.26,57.99,66,20,0.4
140,Juneau,US,2019-12-26 19:59:25,58.3,-134.42,42.01,86,90,21.92
141,Itabera,BR,2019-12-26 19:59:25,-23.86,-49.14,77.88,63,1,8.72
142,Panorama,BR,2019-12-26 19:59:25,-21.35,-51.86,90.25,49,44,3.24
143,Luderitz,NA,2019-12-26 19:59:25,-26.65,15.16,69.8,56,67,19.46
144,Atar,MR,2019-12-26 19:59:26,20.52,-13.05,68.88,13,0,6.76
145,Leh,IN,2019-12-26 19:59:26,34.16,77.58,-3.51,27,0,1.61
146,Longuenesse,FR,2019-12-26 19:59:26,50.74,2.25,50.0,100,78,9.17
147,Brzeg Dolny,PL,2019-12-26 19:59:26,51.27,16.72,41.0,93,75,10.29
148,Vianopolis,BR,2019-12-26 19:59:26,-16.74,-48.52,75.25,86,57,4.65
149,Balintore,GB,2019-12-26 19:59:26,57.76,-3.91,44.01,92,20,11.95
150,Tuatapere,NZ,2019-12-26 19:59:26,-46.13,167.69,57.99,66,87,11.99
151,Kosai,JP,2019-12-26 19:59:27,34.71,137.53,53.01,87,40,10.29
152,Souillac,FR,2019-12-26 19:59:27,45.6,-0.6,51.01,87,90,3.36
153,Krasnovka,RU,2019-12-26 19:59:27,48.37,40.26,35.35,72,93,4.97
154,Baykit,RU,2019-12-26 19:59:27,61.68,96.39,-13.18,95,100,3.76
155,Thompson,CA,2019-12-26 19:55:00,55.74,-97.86,15.8,85,90,5.82
156,Zasosna,RU,2019-12-26 19:59:27,50.63,38.4,34.61,87,100,4.16
157,Erenhot,CN,2019-12-26 19:59:28,43.65,111.97,13.93,80,92,14.56
158,Mao,DO,2019-12-26 19:59:28,19.55,-71.08,84.2,62,75,5.82
159,Malusay,PH,2019-12-26 19:59:28,10.14,123.27,75.83,87,78,0.81
160,North Platte,US,2019-12-26 19:59:28,41.12,-100.77,37.99,64,20,11.41
161,Cap Malheureux,MU,2019-12-26 19:59:28,-19.98,57.61,77.0,100,75,6.93
162,Ahipara,NZ,2019-12-26 19:59:28,-35.17,173.16,66.99,100,0,3.0
163,Bluff,AU,2019-12-26 19:59:28,-23.58,149.07,72.5,66,0,18.1
164,Korem,ET,2019-12-26 19:59:29,12.51,39.52,54.34,94,98,3.74
165,Aberystwyth,GB,2019-12-26 19:59:29,52.41,-4.08,46.0,100,56,92.99
166,Nanortalik,GL,2019-12-26 19:59:29,60.14,-45.24,30.69,52,33,6.55
167,Georgetown,GY,2019-12-26 19:59:29,6.8,-58.16,86.0,78,75,9.17
168,Komsomolskiy,RU,2019-12-26 19:59:29,67.55,63.78,-5.98,88,100,3.94
169,Gazalkent,UZ,2019-12-26 19:59:29,41.57,69.78,37.4,47,100,6.93
170,Pangody,RU,2019-12-26 19:59:29,65.85,74.49,-15.56,97,87,5.53
171,West Chester,US,2019-12-26 19:58:16,39.96,-75.61,51.01,66,1,6.93
172,Tuktoyaktuk,CA,2019-12-26 19:59:30,69.44,-133.03,-23.8,74,20,11.41
173,Nuuk,GL,2019-12-26 19:59:30,64.17,-51.74,15.8,78,20,9.17
174,Lethem,GY,2019-12-26 19:59:30,3.38,-59.8,91.24,46,90,10.85
175,Issoire,FR,2019-12-26 19:59:30,45.54,3.25,50.0,66,75,11.41
176,Altay,CN,2019-12-26 19:59:30,47.83,88.13,3.97,84,100,2.89
177,Taoudenni,ML,2019-12-26 19:59:30,22.68,-3.98,69.01,12,0,8.19
178,Kholmogory,RU,2019-12-26 19:59:30,64.23,41.65,21.2,92,90,6.71
179,Batsfjord,NO,2019-12-26 19:59:31,70.63,29.72,19.04,92,96,6.04
180,Puri,ID,2019-12-26 19:59:31,-7.54,112.45,76.15,81,49,3.09
181,Maraa,BR,2019-12-26 19:59:31,-1.83,-65.37,84.02,85,74,1.61
182,Monrovia,LR,2019-12-26 19:59:31,6.33,-10.8,80.6,94,20,8.23
183,Xicotencatl,MX,2019-12-26 19:59:31,23.02,-98.88,80.01,62,95,5.99
184,Kamenka,MD,2019-12-26 19:59:31,48.03,28.7,36.0,88,100,16.35
185,Cherskiy,RU,2019-12-26 19:59:31,68.75,161.3,-33.5,92,0,6.51
186,Klaksvik,FO,2019-12-26 19:59:32,62.23,-6.59,42.8,81,88,24.16
187,Saint-Georges,CA,2019-12-26 19:59:32,46.12,-70.67,24.01,50,100,3.36
188,Owensboro,US,2019-12-26 19:59:32,37.77,-87.11,68.0,63,90,9.17
189,Pyshma,RU,2019-12-26 19:59:32,56.95,63.25,15.08,93,100,7.63
190,Fairbanks,US,2019-12-26 19:58:24,64.84,-147.72,-13.0,75,90,2.04
191,Chapais,CA,2019-12-26 19:59:32,49.78,-74.86,12.2,66,1,10.29
192,Sitka,US,2019-12-26 19:59:33,37.17,-99.65,51.73,30,0,2.82
193,Toppenish,US,2019-12-26 19:59:33,46.38,-120.31,39.0,74,90,6.93
194,Seymchan,RU,2019-12-26 19:59:33,62.93,152.39,-32.53,93,100,0.74
195,Kindersley,CA,2019-12-26 19:59:33,51.47,-109.16,15.01,78,5,8.05
196,Petropavlovsk-Kamchatskiy,RU,2019-12-26 19:59:33,53.05,158.65,24.8,92,90,26.84
197,Guiyang,CN,2019-12-26 19:59:33,26.58,106.71,39.2,63,90,6.71
198,Hervey Bay,AU,2019-12-26 19:59:33,-25.3,152.85,70.0,88,0,8.05
199,Mentakab,MY,2019-12-26 19:59:33,3.49,102.35,70.41,95,7,1.28
200,Punta Alta,AR,2019-12-26 19:59:33,-27.46,-55.82,95.0,53,40,2.24
201,Zharkent,KZ,2019-12-26 19:59:34,44.17,80.0,16.57,67,9,0.72
202,Ko Samui,TH,2019-12-26 19:59:34,9.54,99.94,80.33,75,17,11.27
203,Katsuura,JP,2019-12-26 19:59:34,33.93,134.5,53.6,62,75,21.92
204,Tasiilaq,GL,2019-12-26 19:54:53,65.61,-37.64,26.6,32,83,12.75
205,Pudozh,RU,2019-12-26 19:59:34,61.81,36.54,30.34,95,100,5.1
206,Saskylakh,RU,2019-12-26 19:59:34,71.97,114.09,-32.31,97,0,5.28
207,Leningradskiy,RU,2019-12-26 19:59:34,69.38,178.42,-10.97,95,90,11.88
208,Seoul,KR,2019-12-26 19:55:25,37.57,126.98,28.4,79,1,1.12
209,Erzin,TR,2019-12-26 19:59:35,36.95,36.2,50.0,93,75,6.93
210,Manbij,SY,2019-12-26 19:59:35,36.53,37.96,42.8,100,75,5.82
211,Ancud,CL,2019-12-26 19:59:35,-41.87,-73.83,59.0,77,75,17.22
212,Steamboat Springs,US,2019-12-26 19:54:47,40.48,-106.83,32.0,85,90,1.05
213,Brigantine,US,2019-12-26 19:59:35,39.41,-74.36,52.0,87,90,5.82
214,Iqaluit,CA,2019-12-26 19:59:35,63.75,-68.52,10.4,72,90,17.22
215,Cabinda,AO,2019-12-26 19:59:35,-5.56,12.19,77.0,94,75,2.35
216,Ixtapa,MX,2019-12-26 19:59:36,20.71,-105.21,84.2,51,40,4.7
217,Geraldton,CA,2019-12-26 19:59:36,49.72,-86.95,26.6,92,90,5.82
218,Yamada,JP,2019-12-26 19:59:36,36.58,137.08,51.8,76,75,17.22
219,Babaeski,TR,2019-12-26 19:59:36,41.43,27.09,42.01,64,0,5.01
220,Whitehorse,CA,2019-12-26 19:59:36,60.72,-135.06,28.99,86,75,16.11
221,Red Deer,CA,2019-12-26 19:56:20,52.27,-113.82,30.0,84,5,2.24
222,Ugoofaaru,MV,2019-12-26 19:59:36,5.67,73.0,81.95,80,1,15.1
223,Lazaro Cardenas,MX,2019-12-26 19:59:36,28.39,-105.62,69.01,36,75,12.37
224,Derzhavinsk,KZ,2019-12-26 19:59:37,51.1,66.31,20.95,71,100,8.34
225,Evensk,RU,2019-12-26 19:59:37,61.92,159.24,-8.09,70,38,15.21
226,Okhotsk,RU,2019-12-26 19:59:37,59.36,143.24,-14.71,64,17,20.22
227,Bubaque,GW,2019-12-26 19:59:37,11.28,-15.83,79.86,71,0,11.45
228,Omsukchan,RU,2019-12-26 19:59:37,62.53,155.8,-36.6,100,100,4.5
229,Vardo,US,2019-12-26 19:59:37,39.62,-77.74,55.99,54,75,5.82
230,Paamiut,GL,2019-12-26 19:59:38,61.99,-49.67,25.72,42,100,10.69
231,Isangel,VU,2019-12-26 19:59:38,-19.55,169.27,77.0,83,90,11.41
232,Parkersburg,US,2019-12-26 19:59:38,39.27,-81.55,64.4,72,90,3.98
233,Nicoya,CR,2019-12-26 19:59:38,10.15,-85.45,91.4,46,20,10.29
234,Ulladulla,AU,2019-12-26 19:59:38,-35.36,150.48,63.0,100,0,3.4
235,Khatanga,RU,2019-12-26 19:59:39,71.98,102.47,-23.62,96,100,2.89
236,Umri,IN,2019-12-26 19:59:39,29.95,76.91,45.52,54,0,5.14
237,Labuhan,ID,2019-12-26 19:59:39,-2.54,115.51,73.08,91,55,0.81
238,Tautira,PF,2019-12-26 19:59:39,-17.73,-149.15,78.8,83,75,12.75
239,Athabasca,CA,2019-12-26 19:59:39,54.72,-113.29,17.6,73,0,9.48
240,Mandera,ET,2019-12-26 19:59:40,3.94,41.86,71.01,20,0,1.01
241,Sobolevo,RU,2019-12-26 19:59:40,54.43,31.9,35.4,93,100,5.41
242,Jacareacanga,BR,2019-12-26 19:59:40,-6.22,-57.76,89.6,70,40,3.36
243,Mandali,IQ,2019-12-26 19:59:40,33.75,45.55,57.94,61,0,12.35
244,Nome,US,2019-12-26 19:59:40,30.04,-94.42,78.8,53,1,3.36
245,Alice Springs,AU,2019-12-26 19:59:40,-23.7,133.88,75.2,19,65,3.36
246,Hay River,CA,2019-12-26 19:59:41,60.82,-115.79,14.0,78,20,11.41
247,Zambezi,ZM,2019-12-26 19:59:41,-13.55,23.12,68.04,93,99,4.0
248,Voh,NC,2019-12-26 19:59:41,-20.95,164.69,76.3,76,0,8.84
249,Tuy Hoa,VN,2019-12-26 19:59:41,13.08,109.3,75.56,76,89,22.06
250,North Battleford,CA,2019-12-26 19:59:41,52.78,-108.3,16.0,85,1,5.82
251,Hwange,ZW,2019-12-26 19:59:41,-18.35,26.5,75.76,65,75,5.5
252,Saint George,GR,2019-12-26 19:55:01,39.45,22.34,50.0,53,20,1.48
253,Emerald,AU,2019-12-26 19:59:41,-23.53,148.16,73.4,69,0,8.05
254,Ketchikan,US,2019-12-26 19:59:41,55.34,-131.65,44.6,81,90,20.8
255,Mehamn,NO,2019-12-26 19:59:42,71.03,27.85,30.2,86,90,17.22
256,Boguchany,RU,2019-12-26 19:59:42,58.38,97.46,-22.49,97,100,4.9
257,Lemoore,US,2019-12-26 19:56:08,36.3,-119.78,52.0,87,75,11.41
258,Necochea,AR,2019-12-26 19:55:58,-38.55,-58.74,66.74,63,48,24.45
259,Vangazi,UZ,2019-12-26 19:59:42,40.03,64.76,48.2,31,0,9.17
260,Palmer,AU,2019-12-26 19:59:42,-34.85,139.16,79.0,64,39,4.7
261,Puerto Del Rosario,ES,2019-12-26 19:59:42,28.5,-13.86,68.0,55,100,4.7
262,Tagusao,PH,2019-12-26 19:59:42,9.19,117.81,73.72,93,88,3.85
263,Poum,MK,2019-12-26 19:59:43,41.28,20.71,33.8,64,0,4.7
264,Narsaq,GL,2019-12-26 19:59:43,60.91,-46.05,37.4,25,68,28.86
265,Husavik,CA,2019-12-26 19:59:43,50.56,-96.99,21.99,97,100,5.99
266,Anloga,GH,2019-12-26 19:59:43,5.79,0.9,84.2,74,20,6.93
267,Nabire,ID,2019-12-26 19:59:43,-3.36,135.5,72.68,95,39,2.13
268,Port Hardy,CA,2019-12-26 19:59:43,50.7,-127.42,41.0,93,90,8.05
269,Rawson,AR,2019-12-26 19:59:43,-43.3,-65.11,63.82,60,100,15.97
270,Bethel,US,2019-12-26 19:54:47,60.79,-161.76,-9.4,83,1,3.36
271,Salalah,OM,2019-12-26 19:59:44,17.01,54.1,78.8,39,29,16.11
272,Quatre Cocos,MU,2019-12-26 19:59:44,-20.21,57.76,77.0,100,75,6.93
273,Zhigansk,RU,2019-12-26 19:59:44,66.77,123.37,-33.05,90,100,5.82
274,Zhangye,CN,2019-12-26 19:59:44,38.94,100.46,16.36,38,0,2.26
275,Columbia,US,2019-12-26 19:57:06,34.0,-81.03,70.0,55,1,0.4
276,Belaya Gora,RU,2019-12-26 19:59:44,68.54,146.19,-24.41,97,98,0.87
277,Severobaykalsk,RU,2019-12-26 19:59:44,55.65,109.32,8.35,93,100,9.46
278,Laguna,BZ,2019-12-26 19:59:45,16.17,-88.94,80.6,69,40,6.93
279,Payo,ID,2019-12-26 19:59:45,-3.75,103.64,68.74,99,100,0.87
280,Grindavik,IS,2019-12-26 19:59:45,63.84,-22.43,39.2,86,90,21.92
281,Yulara,AU,2019-12-26 19:59:45,-25.24,130.99,86.0,15,83,6.93
282,Ilula,TZ,2019-12-26 19:59:45,-7.68,36.04,63.68,93,100,0.54
283,Namibe,AO,2019-12-26 19:59:45,-15.19,12.15,74.43,76,98,4.72
284,Pokaran,IN,2019-12-26 19:59:45,26.93,71.92,56.98,21,12,6.04
285,Jackson,US,2019-12-26 19:55:42,43.48,-110.76,21.2,85,75,3.27
286,Port-Gentil,GA,2019-12-26 19:59:46,-0.72,8.78,84.2,83,75,8.05
287,Martapura,ID,2019-12-26 19:59:46,-3.41,114.85,73.33,90,91,0.27
288,Jagupit,PH,2019-12-26 19:59:46,9.24,125.56,73.74,94,78,4.56
289,Ola,RU,2019-12-26 19:59:47,59.58,151.3,-3.21,72,100,10.54
290,Yarkovo,RU,2019-12-26 19:59:47,54.81,82.6,-16.6,75,40,6.71
291,Muros,ES,2019-12-26 19:59:47,42.77,-9.06,52.0,81,33,2.24
292,Rio De Janeiro,BR,2019-12-26 19:59:36,-22.91,-43.21,86.0,83,20,17.22
293,Beira,ES,2019-12-26 19:59:47,43.2,-8.36,52.0,93,48,3.36
294,Selizharovo,RU,2019-12-26 19:59:47,56.86,33.45,36.97,96,100,1.52
295,Yar-Sale,RU,2019-12-26 19:59:47,66.83,70.83,-15.21,96,99,9.13
296,Verkh-Usugli,RU,2019-12-26 19:59:48,52.7,115.17,-13.63,97,100,1.03
297,Mariental,BR,2019-12-26 19:59:48,-25.72,-49.65,82.99,54,40,10.29
298,Vernon,CA,2019-12-26 19:58:52,50.27,-119.27,30.99,74,90,4.7
299,Jand,PK,2019-12-26 19:59:48,33.43,72.02,46.24,28,0,2.84
300,Iberia,PE,2019-12-26 19:59:48,-11.41,-69.49,89.71,54,99,0.29
301,Loknya,RU,2019-12-26 19:59:48,54.21,39.24,30.34,72,100,3.83
302,Peace River,CA,2019-12-26 19:59:48,56.23,-117.29,10.4,72,75,6.93
303,Kandara,IN,2019-12-26 19:59:49,25.72,73.28,52.21,23,24,6.96
304,Aksarka,RU,2019-12-26 19:59:49,66.56,67.8,-15.65,97,95,10.13
305,Rocha,UY,2019-12-26 19:59:49,-34.48,-54.34,74.37,75,80,11.63
